Channel,Followers,Peak viewers
SayNoToRage,168463,8014
MiltonTPike1,200012,8838
H0llyLP,151000,4958
MarkitoNavaja,665430,26584
RobertoCein,730326,15249
KVYZEE,127963,8354
MarketTradersTV,30413,1357
Flambass,71953,5507
Aa9skillz,502696,11843
Limmy,207508,6575
SparkofPhoenixTV,433078,15792
kyliebitkin,85336,6688
CoconutB,188378,4596
FanHOTS,64587,2104
Pelegrino1993,80566,6236
Killars,46971,4232
Weak3n,188176,2922
Tourva,287553,5067
wintergaming,260779,7019
Vicens,730679,30628
PainLivestream,435872,15002
monkeys_forever,79270,6738
Kaydop,193058,23304
しゃるる (syaruru3),33726,3710
primeleague,73409,19013
LRojo_,100767,11178
trihex,431935,21721
Spaceboy,135311,10590
Froggen,770030,10648
BotanicX,34119,9135
dinablin,293748,29316
RiceGum,903261,29173
ipav999,163956,2536
Lutti,226344,37121
kragiee,234312,6298
Puppers,171425,6798
Crayator,599828,4911
MANvsGAME,510330,5831
TheRealMarzaa,495558,12525
foggedftw2,242205,8622
Linkus7,96728,7248
Arcadum,120586,13801
ImMarksman,633443,11141
LightFuryLF,51589,15139
BarcaGamer,636568,57917
EFEUYGAC,358498,14481
Xnapycz,94551,4388
SilentSentry,301633,5572
球球 (lilballzlolz),118276,6328
DaigoTheBeasTV,173271,27261
UncleBjorn,111003,4265
AnniTheDuck,460463,7894
StRoGo,272944,45087
재슥짱 (pikra10),77376,4659
貝莉莓 (beryl_lulu),156726,15901
purple_hs,88792,5460
Harmii,333858,7200
Zerkaa,529504,11192
iklooode25,418710,42463
聶寶 (nielnieh345),93991,5455
akagreenn,117916,21136
Spraggy,99807,30415
TpaBoMaH,151266,6813
Day9tv,496790,5597
Sologesang,58531,5120
karavay46,354734,48331
RaulZitoYT,78971,6545
JonBams,309837,5577
Japan_ASMR,67707,496
OuterHeaven,137954,6955
Yamikazexz,201657,12411
aircool,153703,12620
Lapi,130323,8684
robn_live,66223,73664
과로사1 (aram4519),301329,14167
Ezekiel_III,190452,18804
RebeuDeter,215360,24675
nookyyy,206681,7393
BrookeAB,737161,24357
innocents,534759,13654
RealKraftyy,710277,19953
rhobalas_lol,100599,5224
veloxey,252913,8596
ArQuel,285920,9110
ElOjoNinja,273504,9339
Bamboe,86644,5956
Sonecarox,87530,2445
MuTeX,200619,9448
RayNarvaezJr,528396,6611
Tanovich,296560,10352
Zalae,170668,5934
KheZu,122158,5322
mandiocaa1,312944,9540
스피드소닉 (dragon3652),35503,2379
RiotGamesOCE,149775,50458
Videoyun,375697,8057
AlcastHQ,81928,12999
julien,511861,15150
iGeStarK,244437,12893
Ziqoftw,198304,10569
CyrusTWO,96691,2727
칸데르니아 (jmjdoc),30877,2395
CouRageJD,2115596,72100
YoMax,273980,16952
JeffHoogland,68914,3375
Call of Duty (callofduty),968465,170131
GoBGG,229586,4198
Wackyjacky101,209700,5981
TaKeTV,227062,31809
iceiceice,183960,8409
StarCraft,342409,56109
MadDecentLive,95371,36968
WillerZ,79392,24663
SoyPan,343191,13884
murilo_RT,70814,8185
Multiplayerit,58786,15237
Markstrom,93045,71423
Krayn_Live,125775,4183
西門夜說 (westdoor),272662,5363
Sintica,160387,8467
FantaBobShow,348598,8248
ops1x,268942,23490
wingz,85695,3940
ZLOYn,294277,14155
HunterGodBr,258876,51612
leplol1,157981,9307
sacy,206184,10692
헤징 (hejin0_0),123451,3032
Naru,344859,13744
Warcraft,593564,51972
FlexZ,155382,14278
DizzyKitten,613135,10080
지수소녀 (wltn4765),99600,9379
Staryuuki,586475,5530
CeMka,86502,18473
Halifax,228316,12478
Bidule,82570,10100
Gabi,271202,17866
Hype,145476,10030
Gigz,254401,15061
매직박 (yagubu),59697,25478
richwcampbell,108410,34756
ESL_CSGO_FR,193614,22857
양아지 (dkwl025),220819,6861
Cizzorz,1866339,11782
RyuQuezacotl,79063,4022
Sigma,61206,81683
Robbaz,229652,4938
mailand,86561,6867
Buozzi,75290,4036
HeyarTV,124479,2343
LenaGol0vach,274237,9115
Sinner666,7102,27996
TommyKayLIVE,127770,3536
TMemoryy,171107,3244
Patriota,646758,29435
러너교 (runner0608),164902,17926
zorlaKOKA,361102,4977
Hitch,96343,3976
calango,767187,8380
Adin2Huncho,199880,14502
SlotRoom247,69183,20609
ALLinPav,71579,6221
Surefour,331662,7911
NumotTheNummy,103069,3359
aminematue,124232,16577
CallMeCarsonLIVE,1151712,61531
ZiggyDLive,173807,18437
KEEMSTAR,146035,74195
크캣66 (crazzyccat),35930,2543
RelaxBeats,166162,2830
LAGTVMaximusBlack,256353,7138
Destructoid,48007,14566
LITkillah,601927,21359
빅헤드 (bighead033),213212,3940
마스카 (newmasca),109068,6431
AndyMilonakis,547446,10543
Remx,178553,13788
